timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-04-12,24.505,24.505,24.505,24.505,22.7703971962405,4,0.0000,1.0
2023-04-11,24.5299,24.53,24.485,24.485,22.7518129096081,411,0.0000,1.0
2023-04-10,24.47,24.47,24.47,24.47,22.7378746946339,20,0.0000,1.0
2023-04-06,24.47,24.5,24.462,24.49,22.7564589812662,4515,0.0000,1.0
2023-04-05,24.45,24.45,24.45,24.45,22.7192904080016,60,0.0000,1.0
2023-04-04,24.46,24.46,24.46,24.46,22.7285825513178,98,0.0000,1.0
2023-04-03,24.38,24.42,24.38,24.42,22.6914139780531,805,0.0000,1.0
2023-03-31,24.465,24.465,24.465,24.465,22.7332286229758,141,0.1217,1.0
2023-03-30,24.52,24.54,24.52,24.54,22.6900491081693,141,0.0000,1.0
2023-03-29,24.535,24.535,24.535,24.535,22.6854260337789,88,0.0000,1.0
2023-03-28,24.535,24.535,24.535,24.535,22.6854260337789,4,0.0000,1.0
2023-03-27,24.525,24.525,24.525,24.525,22.6761798849981,3,0.0000,1.0
2023-03-24,24.475,24.475,24.475,24.475,22.6299491410939,4,0.0000,1.0
2023-03-23,24.465,24.465,24.465,24.465,22.6207029923131,65,0.0000,1.0
2023-03-22,24.46,24.46,24.46,24.46,22.6160799179227,706,0.0000,1.0
2023-03-21,24.44,24.44,24.44,24.44,22.597587620361,32,0.0000,1.0
2023-03-20,24.41,24.455,24.375,24.455,22.6114568435322,834,0.0000,1.0
2023-03-17,24.49,24.49,24.49,24.49,22.6438183642652,124,0.0000,1.0
2023-03-16,24.53,24.53,24.53,24.53,22.6808029593885,17,0.0000,1.0
2023-03-15,24.5006,24.54,24.5006,24.54,22.6900491081693,1408,0.0000,1.0
2023-03-14,24.55,24.55,24.55,24.55,22.6992952569502,197,0.0000,1.0
2023-03-13,24.57,24.57,24.57,24.57,22.7177875545118,111,0.0000,1.0
2023-03-10,24.5601,24.5801,24.54,24.58,22.7270337032927,1478,0.0000,1.0
2023-03-09,24.56,24.59,24.56,24.59,22.7362798520735,107,0.0000,1.0
2023-03-08,24.56,24.6,24.56,24.59,22.7362798520735,322,0.0000,1.0
2023-03-07,24.59,24.59,24.54,24.54,22.6900491081693,314,0.0000,1.0
2023-03-06,24.54,24.54,24.485,24.485,22.6391952898747,211,0.0000,1.0
2023-03-03,24.53,24.555,24.53,24.555,22.7039183313406,221,0.0000,1.0
2023-03-02,24.54,24.54,24.54,24.54,22.6900491081693,432,0.0000,1.0
2023-03-01,24.52,24.52,24.52,24.52,22.6715568106077,125,0.1127,1.0
2023-02-28,24.62,24.62,24.62,24.62,22.659867926665,9,0.0000,1.0
2023-02-27,24.63,24.63,24.63,24.63,22.6690717722891,12,0.0000,1.0
2023-02-24,24.69,24.69,24.69,24.69,22.7242948460341,37,0.0000,1.0
2023-02-23,24.7,24.7,24.7,24.7,22.7334986916582,24,0.0000,1.0
