timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
3/11/2024,195.09,195.38,190.88,191.73,189.8234316,4712688,0,1
3/8/2024,196.06,197.77,194.38,195.95,194.0014678,3943113,0,1
3/7/2024,197.58,198.73,196.14,196.54,194.5856008,4604458,0,1
3/6/2024,193.5,198.13,192.96,196.16,194.2093795,6945818,0,1
3/5/2024,192,193.94,190.57,191.95,190.0412439,5653641,0,1
3/4/2024,187.76,193.898,187.6,193.06,191.140206,7938266,0,1
3/1/2024,185.49,188.38,185.18,188.2,186.328534,4018354,0,1
2/29/2024,186.15,186.8495,184.69,185.03,183.1900566,6458487,0,1
2/28/2024,184.63,185.37,183.55,185.3,183.4573717,3216345,0,1
2/27/2024,184.16,185.13,182.62,184.87,183.0316476,3641378,0,1
2/26/2024,185.6,186.125,184.06,184.13,182.2990062,4620815,0,1
2/23/2024,184.9,186.455,184.57,185.72,183.8731952,3433800,0,1
2/22/2024,182.45,184.55,181.93,184.21,182.3782107,5078398,0,1
2/21/2024,182.56,183.03,178.75,179.7,177.9130582,4728473,0,1
2/20/2024,187.64,188.77,183.06,183.44,181.6158676,4247181,0,1
2/16/2024,186.63,188.95,185.9452,187.64,185.7741027,4842840,0,1
2/15/2024,183.62,186.98,183.62,186.87,185.0117596,4714301,0,1
2/14/2024,185,185,182.26,183.57,181.7445748,3173391,0,1
2/13/2024,184.28,184.77,182.36,183.7,181.8732821,4290453,0,1
2/12/2024,185.9,186.48,184.03,186.16,184.3088198,4724021,0,1
2/9/2024,184.44,187.18,183.85,186.34,184.4870299,5064641,0,1
2/8/2024,182.63,184.55,181.49,184.36,182.5267191,5161185,1.66,1
2/7/2024,183.34,184.02,182.625,183.74,180.2895353,4841188,0,1
2/6/2024,183.55,184.68,183.04,183.41,179.9657324,3338196,0,1
2/5/2024,185.51,185.78,183.255,183.42,179.9755446,4379602,0,1
2/2/2024,187.1,187.39,185.615,185.79,182.3010383,4055411,0,1
2/1/2024,183.63,187.51,182.71,186.9,183.3901935,4669444,0,1
1/31/2024,187.05,187.65,183.14,183.66,180.2110377,8876055,0,1
1/30/2024,187.71,188.65,186.77,187.87,184.3419778,4575058,0,1
1/29/2024,187.46,189.46,186.05,187.14,183.6256865,6107908,0,1
1/26/2024,191.31,192.3896,186.16,187.42,183.9004284,9895941,0,1
1/25/2024,184.96,196.9,184.83,190.43,186.8539034,29596239,0,1
1/24/2024,174.76,174.86,172.9,173.93,170.6637579,7831157,0,1
1/23/2024,172.9,174.02,172.48,173.94,170.6735701,3983461,0,1
1/22/2024,172.82,174.45,172.4,172.83,169.5844149,4925964,0,1
1/19/2024,170.59,171.5791,169.18,171.48,168.2597666,6929079,0,1
1/18/2024,166.49,166.99,165.04,166.84,163.7069015,3776990,0,1
1/17/2024,166.79,167.82,165.495,166.08,162.9611735,4288604,0,1
1/16/2024,165.8,167.25,165.34,166.96,163.824648,4869635,0,1
1/12/2024,162.97,165.98,162.355,165.8,162.6864317,4958261,0,1
1/11/2024,161.02,162.23,160.29,162.16,159.1147875,3778395,0,1
1/10/2024,160.28,161.34,159.74,161.23,158.202252,2967852,0,1
1/9/2024,160,160.4837,159.51,160.08,157.0738479,2617186,0,1
